企業コード,業種,企業名,2018売上,2018営業利益,2018当期利益,2018基本的1株当たり当期利益,2019売上,2019営業利益,2019当期利益,2019基本的1株当たり当期利益,2020売上,2020営業利益,2020当期利益,2020基本的1株当たり当期利益,2021売上,2021営業利益,2021当期利益,2021基本的1株当たり当期利益,20201株当たりの当期純利益,2020PER,20201株当たりの純資産,2020PBR,2020ROA,2020ROE,2020自己資本比率,2020配当性向,2020営業CF,2020投資CF,2020財務CF,20211株当たりの当期純利益,2021PER,20211株当たりの純資産,2021PBR,2021ROA,2021ROE,2021自己資本比率,2021配当性向,2021営業CF,2021投資CF,2021財務CF,短信決算発表日,決算月,2020配当利回り,2021配当利回り,中間配当,期末配当,中間配当権利付き最終日,中間配当基準日,期末配当権利付き最終日,期末配当基準日,専門家予想,みんなの予想
6902,電気機器,デンソー,"5,108,291","412,676","343,444",410.45,"5,362,772","316,196","279,609",326.47,"5,153,476","61,078","84,622",87.89,"4,936,725","155,107","148,095",161.39,△109.05,,"2,683.24",,1.2,1.95,57.2,159.3,"595,320","△447,390","△240,948",52.71,,"3,099.30",,1.85,3.43,54.5,86.7,"437,235","△395,903","238,657",2021/4/28,3.0,3.05,2.79,80.0,70.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,5,9
6701,電気機器,NEC,"2,844,447","63,850","60,157",176.54,"2,913,446","58,465","52,450",154.75,"3,095,234","127,609","112,719",385.02,"2,994,023","153,759","161,866",557.18,149.6,,"2,771.40",,3.2,11.3,34.3,18.2,"261,863","△84,023","△91,747",612.27,,"3,408.74",,4.08,13.49,38.8,16.2,"274,907","△122,491","1,394",2021/5/12,3.0,1.6,1.63,50.0,50.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,2,8
6762,電気機器,TDK,"1,271,747","89,692","63,463",502.8,"1,381,806","107,823","82,205",651.02,"1,363,037","97,870","57,780",457,"1,479,008","111,535","79,430",528,△282,,"1,725",,2.97,6.71,25.0,39,"222,390",△41964,△121769,944,,"2,495",,3.3,8.59,29.0,29,"222,814",△231488,"29,193",2021/4/28,3.0,1.82,1.43,100.0,90.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,7,10
6857,電気機器,アドバンテス,"207,223","24,487","18,103",101.94,"282,456","64,662","56,993",302.35,"275,894","58,708","53,532",270,312789,"70,726","69,787",354,278,,"1,309",,15.05,24.89,70.0,30,"66,475",△38819,△17916,269,,"1,450",,16.51,27.27,69.0,33,"67,830",△16831,△30415,2021/4/27,3.0,1.85,1.78,50.0,80.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,8,5
7735,電気機器,スクリン,"339,368","42,725","28,507",608.62,"364,234","29,645","18,059",387.1,"323,249","12,561","5,010",107.37,"320,322","24,492","15,164",325.21,107.37,,"3,727.10",,1.44,2.84,50.0,27.9,"11,811","△11,293","4,927",325.21,,"4,475.17",,3.96,7.93,54.5,27.7,"57,205","△6,242","△27,071",2021/5/11,3.0,0.5,1.42,0.0,90.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,4,2
6758,電気機器,ソニー,"8,543,982","734,860","490,794",388.32,"8,665,687","894,235","916,271",723.41,"8,259,885","845,459","582,191",472,"8,999,360","971,865","1,171,776",952.29,316.74,,"2,207.21",,2.53,14.79,79.4,9.5,"1,349,745","△1,352,278","65,658",159.02,,"2,361.33",,3.74,19.06,78.0,5.8,"1,350,150","△1,781,516","666,967",2021/4/28,3.0,0.71,0.62,30.0,30.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,9,3
6981,電気機器,村田製,"1,371,842","163,254","146,086",228.62,"1,575,026","266,807","206,930",323.45,"1,534,045","253,247","183,012",286,"1,630,193","313,240","237,057",370.51,106,,940.38,,8.13,11.1,52.4,33.9,"350,334","△284,431","17,650",133.35,,974.49,,9.63,13.12,49.1,31,"373,571","△150,275","△118,189",2021/4/28,3.0,1.75,1.52,60.0,60.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,9,2
6976,電気機器,太陽誘電,"244,117","20,221","16,355",138.8,"274,349","35,237","23,687",189.93,"282,329","37,176","18,022",143.04,"300,920","40,766","28,615",227.99,12,,"1,083.60",,5.25,8.68,55.2,18.2,"52,434","△40,874","△4,851",117,,"1,171.02",,7.07,12.63,50.9,18,"52,882","△42,218","12,604",2021/5/13,3.0,0.99,1.0,40.0,25.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,9,7
8035,電気機器,東エレク,"1,130,728","281,172","204,371","1,245.48","1,278,240","310,571","248,228","1,513.58","1,127,286","237,292","185,206","1,170.57","1,399,102","320,685","242,941","242,941","1,121.95",,"3,018.59",,14.49,21.79,46.7,50.2,"253,117","15,951","△250,374","1,359.70",,"3,949.36",,17.04,26.52,59.4,50,"145,888","△18,274","△114,525",2021/4/30,3.0,2.93,2.48,643.0,421.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,9,3
6501,電気機器,日立,"9,368,614","714,630","490,918",375.93,"9,480,619","754,976","321,022",230.47,"8,767,263","661,883","127,246",90.71,"8,729,196","495,180","518,510",519.29,123.59,,"1,631.97",,0.88,2.73,39.4,104.8,"560,920","△525,826","2,837",729.77,,"2,318.50",,4.23,15.01,45.0,20.2,"793,128","△458,840","△184,838",2021/4/28,3.0,2.4,2.71,60.0,55.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,5,9
6971,電気機器,京セラ,"1,577,039","90,699","79,137",215.22,"1,623,710","94,823","103,210",284.94,"1,599,053","100,193","107,721",297.36,"1,526,897","70,644","90,214",248.91,244.2,,"5,561.83",,3.31,4.59,80.0,53.8,"214,630","△145,551","△157,126",257.34,,"5,860.98",,2.58,3.59,79.1,56.2,"220,821","△183,792","△80,968",2021/4/27,3.0,2.3,2.23,90.0,80.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,10,8
6723,電気機器,ルネサス,"779,255","101,856","102,107",61.2,"756,503","68,196","51,059",30.57,"718,243","6,263","△6,228",△3.73,"715,673","65,142","45,726",26.54,10.05,,286.02,,△0.38,△1.04,30.0,,"201,960","△742,162","500,466",27.6,,317.65,,2.84,7.37,33.8,,"223,889","△40,163","△104,470",2021/2/10,12.0,0.0,0.0,0.0,0.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,1,3
7752,電気機器,リコー,"2,063,363","△115,676","△129,639",△186.75,"2,013,228","86,839","55,377",68.32,"2,008,580","79,040","44,413",54.58,"1,682,069","△45,429","△32,664",△45.20,5.81,,636.38,,1.38,4.27,49.9,47.6,"116,701","△164,591","75,757",121.59,,737.31,,△1.73,△3.56,54.7,47.6,"126,962","△63,559","△4,085",2021/5/7,3.0,2.45,1.89,13.0,7.5,2021/9/27,2021/9/30,2021/3/28,2021/3/31,7,2
